ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,current_price,signal
AAXJ,2020-05-20,2020-06-29,"[14, 23, 34, 42, 48, 53]","[12, 18, 23, 28]","['2020-06-10', '2020-06-23', '2020-07-09', '2020-07-21', '2020-07-29', '2020-08-05']","['2020-07-16', '2020-07-24', '2020-07-31', '2020-08-07']","[1.5666666666666667, 1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[1.55, 1.0, 0.5, 0.0, 0.25, 0.0, 0.25, 0.0]",42,39,2020-08-12,58,31,0.027736523184227424,77.19999694824219,F
AAXN,2020-07-21,2020-06-11,[12],"[7, 22, 30, 35]",['2020-08-06'],"['2020-06-22', '2020-07-14', '2020-07-24', '2020-07-31']","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1.85, 1.0, 0.25, 0.5, 0.5, 0.0, 0.0, 0.0]",36,35,2020-08-12,16,43,0.12052179238690375,79.76000213623047,F
ACTTU,2020-05-11,2020-06-03,"[14, 28]",[15],"['2020-06-01', '2020-06-19']",['2020-06-24'],"[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",18,24,2020-07-02,37,21,0.027746409763923053,13.050000190734865,F
ACWI,2020-05-12,2020-03-16,"[18, 29, 48]","[5, 12, 25, 34, 42, 48, 63, 73, 80, 91, 96]","['2020-06-08', '2020-06-23', '2020-07-21']","['2020-03-23', '2020-04-01', '2020-04-21', '2020-05-04', '2020-05-14', '2020-05-22', '2020-06-15', '2020-06-29', '2020-07-09', '2020-07-24', '2020-07-31']","[1.4333333333333333, 1.0, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0]","[1.7454545454545451, 0.09090909090909091, 0.45454545454545453, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.18181818181818182]",35,38,2020-08-12,64,104,0.025806595255530643,80.52999877929688,F
ACWX,2020-07-29,2020-05-14,[5],"[6, 21, 30, 38, 49, 54]",['2020-08-05'],"['2020-05-22', '2020-06-15', '2020-06-26', '2020-07-09', '2020-07-24', '2020-07-31']","[1.4, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[1.75, 0.8333333333333334, 0.6666666666666666, 0.16666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0]",37,37,2020-08-12,10,62,0.01704202606546841,47.02999877929688,F
ADRE,2020-05-20,2020-05-22,"[14, 23, 36, 42, 48, 53]","[4, 15, 24, 35, 42, 48, 53]","['2020-06-10', '2020-06-23', '2020-07-13', '2020-07-21', '2020-07-29', '2020-08-05']","['2020-05-29', '2020-06-15', '2020-06-26', '2020-07-14', '2020-07-23', '2020-07-31', '2020-08-07']","[1.85, 1.0, 0.5, 0.0, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.0]","[2.0285714285714285, 1.0, 0.5714285714285714, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.0]",39,42,2020-08-12,58,56,0.02161550449631389,46.02000045776367,F
AEIS,2020-06-05,2020-06-26,"[7, 27, 33]","[7, 11, 21]","['2020-06-16', '2020-07-15', '2020-07-23']","['2020-07-08', '2020-07-14', '2020-07-28']","[1.6666666666666665, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0]","[1.9333333333333331, 1.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0]",39,35,2020-08-12,47,32,0.06040065505887205,79.72000122070312,F
AGZD,2020-04-17,2020-04-28,"[5, 10, 44, 49, 60, 78]","[4, 10, 14, 33, 41, 63]","['2020-04-24', '2020-05-01', '2020-06-19', '2020-06-26', '2020-07-14', '2020-08-07']","['2020-05-04', '2020-05-12', '2020-05-18', '2020-06-15', '2020-06-25', '2020-07-28']","[1.4333333333333333, 0.5, 0.3333333333333333, 0.5, 0.16666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]","[1.35, 0.8333333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0]",42,36,2020-08-12,81,74,0.005795195484124736,47.22999954223633,F
AIA,2020-05-20,2020-05-15,"[14, 23, 34, 42, 48, 53]","[5, 20, 30, 42, 48, 53]","['2020-06-10', '2020-06-23', '2020-07-09', '2020-07-21', '2020-07-29', '2020-08-05']","['2020-05-22', '2020-06-15', '2020-06-29', '2020-07-16', '2020-07-24', '2020-07-31']","[1.5666666666666667, 1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[1.7833333333333332, 1.0, 0.5, 0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",41,35,2020-08-12,58,61,0.0325814728778387,72.5,F
AIHS,2020-07-23,2020-06-02,[7],"[15, 35]",['2020-08-03'],"['2020-06-23', '2020-07-22']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.5, 1.0, 0.5, 1.0, 0.5, 0.0, 0.0, 0.0]",35,33,2020-08-12,14,50,0.009640023819760271,0.5090000033378601,F
