,ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,current_price,signal
9,AIHS,2020-07-23,2020-06-02,[7],"[15, 35]",['2020-08-03'],"['2020-06-23', '2020-07-22']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.5, 1.0, 0.5, 1.0, 0.5, 0.0, 0.0, 0.0]",35,33,2020-08-12,14,50,0.009640023819760271,0.5090000033378601,F
15,ALRN,2020-06-10,2019-12-31,"[28, 39]","[7, 20, 24, 39, 49, 64, 76, 96, 107, 134, 147]","['2020-07-21', '2020-08-05']","['2020-01-10', '2020-01-30', '2020-02-05', '2020-02-27', '2020-03-12', '2020-04-02', '2020-04-21', '2020-05-19', '2020-06-04', '2020-07-14', '2020-07-31']","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]","[1.3272727272727272, 0.09090909090909091, 0.36363636363636365, 0.09090909090909091, 0.2727272727272727, 0.2727272727272727, 0.18181818181818182, 0.0]",34,32,2020-08-12,44,155,0.006148109373324218,1.1799999475479126,F
21,ANIX,2020-06-30,2020-07-14,"[7, 14, 24]",[12],"['2020-07-10', '2020-07-21', '2020-08-04']",['2020-07-30'],"[2.3666666666666667, 1.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",36,32,2020-08-12,30,21,0.0068741207891302005,2.640000104904175,F
22,ANY,2020-07-27,2020-07-24,[6],[7],['2020-08-04'],['2020-08-04'],"[1.4, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",43,28,2020-08-12,12,13,0.0191987773129016,2.9300000667572017,F
23,AXGT,2019-10-24,2020-02-11,"[7, 21, 26, 36, 51, 73, 80, 104, 120, 128, 133, 137, 141, 146, 157, 161, 180]","[6, 13, 25, 48, 56, 61, 65, 75, 79, 84, 102, 115, 120]","['2019-11-04', '2019-11-22', '2019-12-02', '2019-12-16', '2020-01-08', '2020-02-10', '2020-02-20', '2020-03-25', '2020-04-17', '2020-04-29', '2020-05-06', '2020-05-12', '2020-05-18', '2020-05-26', '2020-06-10', '2020-06-16', '2020-07-14']","['2020-02-20', '2020-03-02', '2020-03-18', '2020-04-21', '2020-05-01', '2020-05-08', '2020-05-14', '2020-05-29', '2020-06-04', '2020-06-11', '2020-07-08', '2020-07-27', '2020-08-03']","[1.2999999999999998, 0.17647058823529413, 0.35294117647058826, 0.17647058823529413, 0.23529411764705882, 0.23529411764705882, 0.17647058823529413, 0.0]","[1.4846153846153847, 0.07692307692307693, 0.46153846153846156, 0.38461538461538464, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078, 0.07692307692307693]",35,35,2020-08-12,201,127,0.006620459532270637,3.2100000381469727,F
83,CLUB,2020-03-20,2020-05-14,"[14, 27, 42, 47, 55, 88]","[14, 30, 41, 54]","['2020-04-09', '2020-04-29', '2020-05-20', '2020-05-28', '2020-06-09', '2020-07-27']","['2020-06-04', '2020-06-26', '2020-07-14', '2020-07-31']","[1.45, 0.6666666666666666, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.0, 0.16666666666666666]","[1.475, 1.0, 0.5, 0.25, 0.25, 0.0, 0.0, 0.0]",32,25,2020-08-12,100,62,0.002110641922491219,0.4600000083446503,T
93,CTIB,2020-05-13,2019-08-27,"[21, 29, 36, 44, 49, 54]","[12, 21, 43, 60, 84, 97, 105, 109, 129, 136, 140, 152, 164, 171, 180, 190, 207, 211, 221, 230, 234]","['2020-06-12', '2020-06-24', '2020-07-06', '2020-07-16', '2020-07-23', '2020-07-30']","['2019-09-13', '2019-09-26', '2019-10-28', '2019-11-20', '2019-12-26', '2020-01-15', '2020-01-28', '2020-02-03', '2020-03-03', '2020-03-12', '2020-03-18', '2020-04-03', '2020-04-22', '2020-05-01', '2020-05-14', '2020-05-29', '2020-06-23', '2020-06-29', '2020-07-14', '2020-07-27', '2020-07-31']","[1.5666666666666667, 0.6666666666666666, 0.5, 0.0, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0]","[1.3904761904761902, 0.09523809523809523, 0.47619047619047616, 0.2857142857142857, 0.19047619047619047, 0.09523809523809523, 0.19047619047619047, 0.0]",27,34,2020-08-12,63,242,0.016404790308443818,2.7300000190734863,F
94,CUBA,2020-01-29,2020-01-31,"[5, 14, 42, 50, 65, 72, 90, 96, 109, 116, 120]","[8, 35, 40, 44, 55, 72, 91, 100, 110, 120, 126]","['2020-02-05', '2020-02-19', '2020-03-30', '2020-04-09', '2020-05-01', '2020-05-12', '2020-06-08', '2020-06-16', '2020-07-06', '2020-07-15', '2020-07-21']","['2020-02-12', '2020-03-23', '2020-03-30', '2020-04-03', '2020-04-21', '2020-05-14', '2020-06-11', '2020-06-24', '2020-07-09', '2020-07-23', '2020-07-31']","[1.6454545454545455, 0.09090909090909091, 0.45454545454545453, 0.45454545454545453, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727, 0.09090909090909091]","[1.5909090909090908, 0.0, 0.2727272727272727, 0.5454545454545454, 0.2727272727272727, 0.36363636363636365, 0.18181818181818182, 0.09090909090909091]",34,36,2020-08-12,136,134,0.003840812007681632,3.700000047683716,F
106,DXYN,2020-04-07,2020-02-04,"[18, 32, 51, 60, 72, 80]","[17, 33, 56, 69, 84, 98, 107, 111, 120]","['2020-05-04', '2020-05-22', '2020-06-19', '2020-07-02', '2020-07-21', '2020-07-31']","['2020-02-28', '2020-03-23', '2020-04-24', '2020-05-13', '2020-06-04', '2020-06-24', '2020-07-08', '2020-07-14', '2020-07-27']","[1.7166666666666666, 1.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.5, 0.3333333333333333, 0.0]","[1.6999999999999997, 0.0, 0.5555555555555556, 0.1111111111111111, 0.3333333333333333, 0.2222222222222222, 0.2222222222222222, 0.0]",30,29,2020-08-12,88,132,0.0038810505444236594,0.9300000071525574,F
127,EYES,2020-05-19,2020-07-09,"[4, 14, 42, 55]",[15],"['2020-05-26', '2020-06-09', '2020-07-20', '2020-08-06']",['2020-07-30'],"[1.75, 0.75, 0.25, 0.25, 0.5, 0.0, 0.0, 0.25]","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",34,30,2020-08-12,59,24,0.003377382763820631,0.8740000128746033,F
