ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,current_price,signal
A,2020-07-23,2020-07-24,[7],"[5, 9]",['2020-08-03'],"['2020-07-31', '2020-08-06']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.4, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5]",37,40,2020-08-13,15,14,0.03908903385403719,98.75499725341795,F
AA,2020-07-08,2020-07-10,[7],"[10, 14]",['2020-07-17'],"['2020-07-24', '2020-07-30']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.55, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]",38,35,2020-08-13,26,24,0.019275731316415717,14.59000015258789,F
AAN,2020-01-08,2019-10-03,"[14, 24, 54, 64, 70, 77, 84, 96, 105, 110, 122, 130, 140]","[27, 36, 42, 48, 60, 64, 78, 84, 117, 126, 134, 148, 153, 164, 175, 180, 195, 199]","['2020-01-29', '2020-02-12', '2020-03-26', '2020-04-09', '2020-04-20', '2020-04-29', '2020-05-08', '2020-05-27', '2020-06-09', '2020-06-16', '2020-07-02', '2020-07-15', '2020-07-29']","['2019-11-11', '2019-11-22', '2019-12-03', '2019-12-11', '2019-12-30', '2020-01-06', '2020-01-27', '2020-02-04', '2020-03-23', '2020-04-03', '2020-04-16', '2020-05-06', '2020-05-13', '2020-05-29', '2020-06-15', '2020-06-22', '2020-07-14', '2020-07-20']","[1.9692307692307693, 0.07692307692307693, 0.38461538461538464, 0.38461538461538464, 0.46153846153846156, 0.23076923076923078, 0.23076923076923078, 0.0]","[1.7333333333333334, 0.1111111111111111, 0.6666666666666666, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.2777777777777778, 0.0]",41,37,2020-08-12,150,216,0.06844572092353032,59.20000076293945,F
AAP,2020-06-23,2020-07-10,"[7, 21, 26]",[12],"['2020-07-02', '2020-07-23', '2020-07-30']",['2020-07-28'],"[1.9333333333333331, 1.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",38,36,2020-08-12,35,23,0.09398217038465832,154.27999877929688,F
AAT,2020-06-16,2019-08-05,"[12, 20, 30]","[7, 15, 28, 35, 42, 54, 60, 70, 78, 94, 104, 124, 132, 143, 157, 168, 179, 196, 215, 224, 233, 241, 246]","['2020-07-02', '2020-07-15', '2020-07-29']","['2019-08-14', '2019-08-26', '2019-09-13', '2019-09-24', '2019-10-03', '2019-10-21', '2019-10-29', '2019-11-12', '2019-11-22', '2019-12-17', '2020-01-02', '2020-01-31', '2020-02-12', '2020-02-28', '2020-03-19', '2020-04-03', '2020-04-21', '2020-05-14', '2020-06-11', '2020-06-24', '2020-07-08', '2020-07-20', '2020-07-27']","[1.7999999999999998, 1.0, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.0]","[1.508695652173913, 0.2608695652173913, 0.34782608695652173, 0.21739130434782608, 0.34782608695652173, 0.13043478260869565, 0.13043478260869565, 0.043478260869565216]",38,36,2020-08-12,40,258,0.020843827046589276,27.65999984741211,F
AB,2020-04-30,2019-09-03,"[19, 25, 35, 44, 57, 63]","[15, 21, 32, 49, 64, 82, 105, 112, 123, 137, 146, 159, 168, 176, 186, 195, 205, 224, 235]","['2020-05-28', '2020-06-05', '2020-06-19', '2020-07-02', '2020-07-22', '2020-07-30']","['2019-09-24', '2019-10-02', '2019-10-17', '2019-11-11', '2019-12-03', '2019-12-30', '2020-02-03', '2020-02-12', '2020-02-28', '2020-03-19', '2020-04-01', '2020-04-21', '2020-05-04', '2020-05-14', '2020-05-29', '2020-06-11', '2020-06-25', '2020-07-23', '2020-08-07']","[1.4333333333333331, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[1.4894736842105263, 0.10526315789473684, 0.42105263157894735, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 0.05263157894736842, 0.0]",40,35,2020-08-12,72,238,0.017033476148031308,28.940000534057614,F
ABB,2020-04-20,2020-06-26,"[7, 16, 36, 45, 55, 65, 70, 75]",[24],"['2020-04-29', '2020-05-12', '2020-06-10', '2020-06-23', '2020-07-08', '2020-07-22', '2020-07-29', '2020-08-05']",['2020-07-31'],"[1.7375, 0.625, 0.375, 0.625, 0.25, 0.125, 0.125, 0.125]","[2.7, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]",44,32,2020-08-12,80,32,0.017261329478002994,26.53000068664551,F
ABBV,2020-04-28,2020-05-27,"[14, 19, 30, 39, 48, 56]","[13, 21, 33, 50]","['2020-05-18', '2020-05-26', '2020-06-10', '2020-06-23', '2020-07-07', '2020-07-17']","['2020-06-15', '2020-06-25', '2020-07-14', '2020-08-06']","[1.8166666666666667, 0.8333333333333334, 0.5, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.0]","[1.6, 1.0, 0.5, 0.25, 0.25, 0.0, 0.0, 0.25]",36,35,2020-08-12,74,54,0.04848096792386123,95.51000213623048,F
ABC,2020-05-20,2020-07-09,"[12, 21, 30, 40, 44, 53]","[16, 21]","['2020-06-08', '2020-06-19', '2020-07-02', '2020-07-17', '2020-07-23', '2020-08-05']","['2020-07-31', '2020-08-07']","[1.55, 0.8333333333333334, 0.5, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[1.95, 1.0, 0.5, 0.0, 0.5, 0.5, 0.0, 0.0]",46,43,2020-08-12,58,24,0.045153889459757485,103.5500030517578,F
ABEV,2020-07-09,2020-03-25,[15],"[7, 21, 30, 34, 45, 56, 76]",['2020-07-30'],"['2020-04-03', '2020-04-24', '2020-05-07', '2020-05-13', '2020-05-29', '2020-06-15', '2020-07-14']","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[1.8571428571428572, 0.8571428571428571, 0.42857142857142855, 0.2857142857142857, 0.42857142857142855, 0.14285714285714285, 0.0, 0.14285714285714285]",28,29,2020-08-12,24,97,0.002451084903415805,2.490000009536743,T
