,ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,current_price,signal
6,0007.HK,2020-06-17,2020-06-12,"[5, 12, 28]",[21],"['2020-06-24', '2020-07-07', '2020-07-29']",['2020-07-15'],"[2.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",23,23,2020-08-13,39,42,0.0013247591060835536,0.6800000071525574,F
8,0009.HK,2020-05-14,2020-07-08,"[24, 30, 60]","[7, 15]","['2020-06-17', '2020-06-26', '2020-08-10']","['2020-07-17', '2020-07-29']","[2.6333333333333333, 1.0, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0]","[2.15, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]",31,35,2020-08-13,63,26,0.0003094879871516507,0.06700000166893005,F
13,0015.HK,2020-03-17,2020-04-21,"[5, 24, 53, 67, 72]","[16, 24, 28]","['2020-03-24', '2020-04-22', '2020-06-04', '2020-06-24', '2020-07-03']","['2020-05-15', '2020-05-27', '2020-06-02']","[1.44, 1.0, 0.4, 0.2, 0.0, 0.4, 0.4, 0.2]","[1.7999999999999998, 1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0]",27,31,2020-08-13,101,78,0.0009801503099365434,0.8299999833106995,F
16,0018.HK,2020-06-09,2020-07-29,"[7, 14, 18, 22, 27, 33]",[7],"['2020-06-18', '2020-06-30', '2020-07-07', '2020-07-13', '2020-07-20', '2020-07-28']",['2020-08-07'],"[1.4666666666666668, 1.0, 0.5, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",18,20,2020-08-13,45,11,0.001560790140342286,0.4449999928474426,F
19,0021.HK,2019-08-09,2020-04-03,"[6, 27, 33, 39, 48, 56, 84, 113, 130, 140, 192, 229, 239]","[18, 28, 35, 44, 48, 55, 63, 77, 82]","['2019-08-19', '2019-09-17', '2019-09-25', '2019-10-04', '2019-10-18', '2019-10-30', '2019-12-09', '2020-01-22', '2020-02-18', '2020-03-03', '2020-05-20', '2020-07-14', '2020-07-28']","['2020-05-05', '2020-05-19', '2020-05-28', '2020-06-10', '2020-06-16', '2020-06-26', '2020-07-09', '2020-07-29', '2020-08-05']","[1.5153846153846156, 0.0, 0.5384615384615384, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.0]","[1.6444444444444444, 0.0, 0.3333333333333333, 0.2222222222222222, 0.4444444444444444, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",28,45,2020-08-13,251,88,0.00023308344188271147,0.09300000220537186,F
20,0022.HK,2020-06-01,2020-07-09,"[20, 42]",[15],"['2020-06-30', '2020-07-31']",['2020-07-30'],"[2.15, 1.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",11,24,2020-08-13,51,25,0.0002440007465036973,0.1169999986886978,F
22,0024.HK,2019-03-15,2019-08-07,"[7, 24, 35, 41, 45, 51, 62, 73]",[7],"['2019-03-26', '2019-04-23', '2019-05-09', '2019-05-20', '2019-05-24', '2019-06-03', '2019-06-19', '2019-07-05']",['2019-08-16'],"[1.4375, 0.75, 0.375, 0.25, 0.25, 0.125, 0.125, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",14,10,2020-08-12,348,252,1.340320212062667e-10,0.07100000232458115,F
28,0030.HK,2020-03-27,2020-04-01,"[37, 49, 66, 84, 89]","[7, 12, 24, 33, 44, 56, 69, 85]","['2020-05-25', '2020-06-10', '2020-07-07', '2020-07-31', '2020-08-07']","['2020-04-14', '2020-04-21', '2020-05-11', '2020-05-22', '2020-06-08', '2020-06-24', '2020-07-15', '2020-08-06']","[1.58, 0.0, 0.4, 0.0, 0.4, 0.0, 0.2, 0.2]","[1.6375, 0.625, 0.5, 0.125, 0.25, 0.25, 0.25, 0.0]",20,32,2020-08-13,93,90,0.0006991496844533817,0.2409999966621399,F
29,0031.HK,2019-02-14,2019-08-09,"[12, 41, 84, 93, 139, 144, 154, 158, 180, 212, 248, 261, 287, 304, 315, 325, 330, 345, 356]","[14, 96, 119, 159, 195, 209, 214, 220, 231]","['2019-03-04', '2019-04-15', '2019-06-20', '2019-07-04', '2019-09-06', '2019-09-13', '2019-09-27', '2019-10-04', '2019-11-06', '2019-12-20', '2020-02-17', '2020-03-05', '2020-04-14', '2020-05-11', '2020-05-26', '2020-06-09', '2020-06-16', '2020-07-09', '2020-07-24']","['2019-08-29', '2019-12-27', '2020-02-03', '2020-03-30', '2020-05-25', '2020-06-12', '2020-06-19', '2020-06-30', '2020-07-16']","[1.4315789473684208, 0.0, 0.47368421052631576, 0.2631578947368421, 0.21052631578947367, 0.15789473684210525, 0.21052631578947367, 0.0]","[1.5000000000000002, 0.0, 0.4444444444444444, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.0]",22,13,2020-08-13,370,251,0.0007295342385866148,0.4900000095367432,F
31,0033.HK,2020-07-10,2020-03-04,[7],"[15, 24, 33, 48, 65, 74, 90]",['2020-07-21'],"['2020-03-25', '2020-04-07', '2020-04-22', '2020-05-15', '2020-06-09', '2020-06-22', '2020-07-16']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.6999999999999997, 0.8571428571428571, 0.7142857142857143, 0.42857142857142855, 0.0, 0.2857142857142857, 0.2857142857142857, 0.0]",28,26,2020-08-12,23,109,0.0006483132234954447,0.09300000220537186,F
