,ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,current_price,signal
34,0036.HK,2020-07-23,2020-06-29,[6],"[21, 28]",['2020-07-31'],"['2020-07-29', '2020-08-07']","[1.4, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.8, 1.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0]",26,43,2020-08-13,15,32,0.0005857379918552331,0.14800000190734866,F
35,0037.HK,2020-04-08,2020-07-03,"[23, 35, 45, 51, 63, 68, 81]","[17, 21]","['2020-05-15', '2020-06-02', '2020-06-16', '2020-06-24', '2020-07-14', '2020-07-21', '2020-08-07']","['2020-07-28', '2020-08-03']","[1.6285714285714283, 0.8571428571428571, 0.5714285714285714, 0.2857142857142857, 0.2857142857142857, 0.0, 0.0, 0.0]","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]",22,34,2020-08-13,85,29,0.0003315497888174847,0.1169999986886978,F
37,0039.HK,2020-05-11,2020-05-28,"[15, 41, 45, 56, 60]","[8, 35, 45]","['2020-06-01', '2020-07-09', '2020-07-15', '2020-07-30', '2020-08-05']","['2020-06-09', '2020-07-20', '2020-08-03']","[1.9600000000000002, 0.8, 0.6, 0.6, 0.2, 0.2, 0.2, 0.0]","[1.8333333333333335, 1.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0]",38,34,2020-08-13,66,53,0.00019353786870636642,0.07199999690055847,F
38,0040.HK,2019-12-27,2020-01-20,"[9, 28, 32, 75, 91, 101, 130]","[5, 37, 69, 84, 110, 121, 132]","['2020-01-10', '2020-02-10', '2020-02-14', '2020-04-17', '2020-05-13', '2020-05-27', '2020-07-09']","['2020-01-29', '2020-03-13', '2020-05-04', '2020-05-25', '2020-07-02', '2020-07-17', '2020-08-03']","[1.3, 0.7142857142857143, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.0, 0.0]","[1.414285714285714, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.14285714285714285, 0.0, 0.2857142857142857, 0.14285714285714285]",27,22,2020-08-13,155,140,0.0009494471851720721,0.5799999833106995,F
40,0042.HK,2020-07-09,2020-05-18,[7],[42],['2020-07-20'],['2020-07-17'],"[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",20,16,2020-08-13,25,61,0.0006426840733418848,0.4399999976158142,F
41,0043.HK,2020-06-10,2020-05-25,"[28, 35]",[15],"['2020-07-22', '2020-07-31']",['2020-06-15'],"[2.55, 1.0, 0.0, 0.5, 1.0, 0.0, 0.0, 0.0]","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",10,13,2020-08-13,44,56,0.0006541092914678629,0.8000000119209291,F
44,0047.HK,2019-08-20,2020-05-25,"[5, 9, 24, 35, 40, 51, 63, 67, 87, 91, 97, 114, 132, 153, 168, 175, 189, 194, 210, 217, 221, 227]","[24, 42, 52]","['2019-08-27', '2019-09-02', '2019-09-23', '2019-10-10', '2019-10-17', '2019-11-01', '2019-11-19', '2019-11-25', '2019-12-23', '2019-12-31', '2020-01-09', '2020-02-05', '2020-03-02', '2020-03-31', '2020-04-23', '2020-05-06', '2020-05-26', '2020-06-02', '2020-06-24', '2020-07-07', '2020-07-13', '2020-07-21']","['2020-06-29', '2020-07-24', '2020-08-07']","[1.7045454545454544, 0.09090909090909091, 0.5, 0.22727272727272727, 0.36363636363636365, 0.13636363636363635, 0.13636363636363635, 0.045454545454545456]","[2.033333333333333, 0.6666666666666666, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",34,29,2020-08-13,244,56,9.57443541660764e-05,0.059999998658895486,F
45,0048.HK,2020-07-03,2020-02-12,[24],"[7, 25, 33, 49, 63, 80, 85, 111]",['2020-08-06'],"['2020-02-21', '2020-03-18', '2020-03-30', '2020-04-23', '2020-05-15', '2020-06-09', '2020-06-16', '2020-07-24']","[2.7, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[1.625, 0.625, 0.375, 0.375, 0.375, 0.125, 0.0, 0.0]",33,32,2020-08-13,29,125,0.00026290672136227003,0.06599999964237213,F
50,0055.HK,2020-05-04,2020-06-26,"[10, 27, 35, 54]","[21, 30]","['2020-05-18', '2020-06-10', '2020-06-22', '2020-07-21']","['2020-07-28', '2020-08-10']","[1.65, 1.0, 0.5, 0.5, 0.25, 0.0, 0.0, 0.0]","[2.75, 1.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0]",24,36,2020-08-13,71,33,0.0007833078858367291,0.2949999868869781,F
53,0058.HK,2020-07-20,2020-07-14,"[6, 12]",[12],"['2020-07-28', '2020-08-05']",['2020-07-30'],"[1.9, 1.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",26,28,2020-08-13,18,22,0.00022987497056571344,0.07400000095367433,F
55,0060.HK,2020-05-20,2020-07-28,[9],[7],['2020-06-02'],['2020-08-06'],"[1.4, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",17,24,2020-08-13,59,12,0.0013609393433533046,0.5799999833106995,F
56,0061.HK,2020-04-03,2019-07-22,"[12, 63]","[8, 89, 105, 130, 162, 195]","['2020-04-23', '2020-07-09']","['2019-08-01', '2019-11-26', '2019-12-18', '2020-01-29', '2020-03-13', '2020-05-05']","[2.8, 0.5, 1.0, 0.0, 0.5, 0.0, 0.5, 0.0]","[1.4833333333333332, 0.3333333333333333, 0.5, 0.5, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]",15,14,2020-08-12,87,264,0.0010074751248736584,0.1720000058412552,F
58,0063.HK,2020-05-26,2020-07-07,"[17, 21, 30]","[7, 18]","['2020-06-18', '2020-06-24', '2020-07-09']","['2020-07-16', '2020-07-31']","[1.9, 1.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]",29,30,2020-08-13,55,27,0.0005465277149352028,0.14900000393390656,F
59,0064.HK,2020-03-26,2020-03-30,"[4, 36, 42, 48, 58, 77, 86]","[32, 50, 60, 84, 89]","['2020-04-01', '2020-05-21', '2020-05-29', '2020-06-08', '2020-06-22', '2020-07-21', '2020-08-03']","['2020-05-19', '2020-06-12', '2020-06-29', '2020-08-03', '2020-08-10']","[1.6142857142857143, 1.0, 0.42857142857142855, 0.0, 0.2857142857142857, 0.14285714285714285, 0.2857142857142857, 0.0]","[1.8399999999999999, 0.6, 0.4, 0.4, 0.2, 0.2, 0.4, 0.2]",18,22,2020-08-13,94,92,0.0002581045541231291,0.16599999368190765,F
60,0065.HK,2019-11-19,2020-03-26,"[7, 19, 28, 35, 44, 72, 132, 145, 152, 158, 168]","[24, 36, 42, 49, 81]","['2019-11-28', '2019-12-16', '2019-12-31', '2020-01-10', '2020-01-23', '2020-03-05', '2020-06-03', '2020-06-22', '2020-07-03', '2020-07-13', '2020-07-27']","['2020-05-05', '2020-05-21', '2020-05-29', '2020-06-09', '2020-07-27']","[1.5363636363636362, 0.0, 0.2727272727272727, 0.18181818181818182, 0.36363636363636365, 0.2727272727272727, 0.2727272727272727, 0.0]","[2.3800000000000003, 0.8, 0.8, 0.0, 0.4, 0.2, 0.4, 0.0]",29,31,2020-08-13,181,94,0.0010312912207871088,0.17000000178813934,F
64,0070.HK,2020-06-23,2020-07-21,"[13, 21]","[5, 9, 14]","['2020-07-14', '2020-07-24']","['2020-07-28', '2020-08-03', '2020-08-10']","[2.05, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.5]","[1.6666666666666667, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333]",29,36,2020-08-13,35,17,0.00032900303176949895,0.08699999749660492,F
66,0072.HK,2020-05-22,2019-12-24,"[7, 14, 20, 28, 39, 43, 48]","[9, 24, 30, 37, 63, 109, 120, 125, 129, 140]","['2020-06-02', '2020-06-11', '2020-06-19', '2020-07-03', '2020-07-20', '2020-07-24', '2020-07-31']","['2020-01-09', '2020-02-03', '2020-02-11', '2020-02-20', '2020-03-27', '2020-06-05', '2020-06-22', '2020-06-30', '2020-07-07', '2020-07-22']","[1.6857142857142857, 1.0, 0.2857142857142857, 0.14285714285714285, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.0]","[1.66, 0.0, 0.6, 0.4, 0.2, 0.2, 0.2, 0.0]",16,22,2020-08-13,57,156,0.0006298919183508154,0.14800000190734866,F
68,0076.HK,2020-04-28,2020-03-23,"[9, 48]","[63, 72, 85, 89]","['2020-05-13', '2020-07-09']","['2020-06-24', '2020-07-09', '2020-07-28', '2020-08-03']","[2.05, 1.0, 1.0, 0.0, 0.0, 0.5, 0.5, 0.0]","[1.825, 0.5, 0.5, 0.25, 0.25, 0.25, 0.25, 0.25]",11,18,2020-08-13,73,97,5.343964644386971e-05,0.0130000002682209,F
69,0077.HK,2020-05-29,2019-10-24,"[7, 24, 29, 35, 45]","[7, 15, 21, 66, 77, 84, 101, 123, 135, 147, 192]","['2020-06-09', '2020-07-06', '2020-07-13', '2020-07-21', '2020-08-04']","['2019-11-04', '2019-11-14', '2019-11-22', '2020-01-31', '2020-02-17', '2020-02-26', '2020-03-20', '2020-04-23', '2020-05-13', '2020-05-29', '2020-08-04']","[2.02, 1.0, 0.4, 0.4, 0.4, 0.2, 0.2, 0.0]","[2.118181818181818, 0.0, 0.7272727272727273, 0.18181818181818182, 0.45454545454545453, 0.09090909090909091, 0.18181818181818182, 0.0]",26,25,2020-08-13,52,199,0.0014656955690585903,0.6899999976158142,F
71,0079.HK,2019-06-21,2020-05-27,"[6, 68, 84, 131, 144, 281]",[42],"['2019-07-02', '2019-09-26', '2019-10-22', '2019-12-30', '2020-01-17', '2020-08-07']",['2020-07-28'],"[1.4166666666666665, 0.5, 0.5, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.0]","[3.4, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",11,13,2020-08-13,285,54,0.00018320576690145305,0.17000000178813934,F
72,0080.HK,2020-06-05,2020-07-06,"[8, 21]","[12, 24]","['2020-06-17', '2020-07-08']","['2020-07-22', '2020-08-07']","[1.95, 1.0, 0.5, 0.0, 0.5, 0.5, 0.0, 0.0]","[2.55, 1.0, 1.0, 0.0, 0.0, 0.5, 1.0, 0.0]",29,37,2020-08-13,47,28,0.00040150010956095173,0.17900000512599945,F
74,0082.HK,2020-07-20,2020-06-11,[15],"[7, 24, 30]",['2020-08-10'],"['2020-06-22', '2020-07-17', '2020-07-27']","[2.0999999999999996, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[2.3333333333333335, 1.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]",25,35,2020-08-13,18,43,0.0007097563603619942,0.2450000047683716,F
76,0084.HK,2020-04-24,2020-07-06,"[4, 14, 36, 45]",[14],"['2020-05-04', '2020-05-18', '2020-06-17', '2020-07-02']",['2020-07-24'],"[1.725, 1.0, 0.5, 0.25, 0.25, 0.0, 0.25, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",32,28,2020-08-13,75,28,0.0005142794292816367,0.10499999672174454,F
77,0085.HK,2020-02-05,2020-07-08,"[14, 45, 63, 84, 96, 106, 125]",[7],"['2020-02-25', '2020-04-08', '2020-05-08', '2020-06-08', '2020-06-24', '2020-07-10', '2020-08-06']",['2020-07-17'],"[2.157142857142857, 0.42857142857142855, 0.5714285714285714, 0.2857142857142857, 0.42857142857142855, 0.14285714285714285, 0.2857142857142857, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",20,20,2020-08-13,130,26,0.002336081762121076,0.9800000190734864,F
82,0090.HK,2020-03-31,2020-07-08,"[14, 21, 27, 34, 84]",[7],"['2020-04-22', '2020-05-05', '2020-05-13', '2020-05-22', '2020-08-04']",['2020-07-17'],"[2.3800000000000003, 0.8, 0.6, 0.0, 0.6, 0.0, 0.2, 0.2]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",22,34,2020-08-13,91,26,0.0010791311984831675,0.6600000262260437,F
83,0091.HK,2020-02-11,2020-07-09,"[21, 42, 56, 103, 119]","[14, 20]","['2020-03-11', '2020-04-09', '2020-05-05', '2020-07-13', '2020-08-04']","['2020-07-29', '2020-08-06']","[2.22, 0.4, 0.4, 0.0, 0.8, 0.2, 0.0, 0.0]","[1.55, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]",20,29,2020-08-13,126,25,0.0007289960147200445,0.239999994635582,F
84,0092.HK,2019-09-20,2020-04-22,"[9, 26, 42, 46, 60, 66, 89, 98, 105, 112, 139, 149, 161, 175, 190, 194, 198, 216]","[23, 48, 52, 63]","['2019-10-04', '2019-10-30', '2019-11-21', '2019-11-27', '2019-12-17', '2019-12-27', '2020-02-03', '2020-02-14', '2020-02-25', '2020-03-05', '2020-04-15', '2020-04-29', '2020-05-19', '2020-06-08', '2020-06-30', '2020-07-07', '2020-07-13', '2020-08-06']","['2020-05-27', '2020-07-03', '2020-07-09', '2020-07-24']","[1.4944444444444445, 0.16666666666666666, 0.3888888888888889, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.05555555555555555]","[1.525, 0.5, 0.5, 0.0, 0.25, 0.25, 0.25, 0.0]",30,35,2020-08-13,221,77,0.0002673444242212399,0.09399999678134917,F
85,0093.HK,2019-05-28,2020-04-06,"[5, 13, 25, 36, 42, 51, 120, 147, 154, 169, 200, 213, 232, 254]","[39, 70]","['2019-06-04', '2019-06-17', '2019-07-04', '2019-07-19', '2019-07-29', '2019-08-09', '2019-11-18', '2019-12-27', '2020-01-08', '2020-01-31', '2020-03-16', '2020-04-02', '2020-05-05', '2020-06-04']","['2020-06-04', '2020-07-21']","[1.4214285714285713, 0.0, 0.42857142857142855, 0.2857142857142857, 0.21428571428571427, 0.21428571428571427, 0.14285714285714285, 0.14285714285714285]","[2.05, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]",23,29,2020-08-13,302,87,0.0003706263705324114,0.2899999916553497,F
86,0094.HK,2019-04-15,2019-09-16,"[11, 58, 64, 72, 91, 120, 126, 140, 155, 173, 187, 200, 204, 227, 285, 304, 308, 321]","[7, 14, 30, 39, 47, 63, 72, 84, 92, 96, 101, 108, 112, 129, 147, 160, 178, 193, 200, 209, 218]","['2019-05-03', '2019-07-12', '2019-07-22', '2019-08-01', '2019-08-28', '2019-10-10', '2019-10-18', '2019-11-07', '2019-11-28', '2019-12-24', '2020-01-16', '2020-02-06', '2020-02-12', '2020-03-16', '2020-06-10', '2020-07-09', '2020-07-15', '2020-08-03']","['2019-09-25', '2019-10-08', '2019-10-30', '2019-11-12', '2019-11-22', '2019-12-16', '2019-12-31', '2020-01-17', '2020-01-31', '2020-02-06', '2020-02-13', '2020-02-24', '2020-02-28', '2020-03-24', '2020-04-21', '2020-05-12', '2020-06-05', '2020-06-29', '2020-07-09', '2020-07-22', '2020-08-04']","[1.2999999999999998, 0.05555555555555555, 0.3333333333333333, 0.2777777777777778, 0.2222222222222222, 0.2777777777777778, 0.16666666666666666, 0.0]","[1.4666666666666666, 0.09523809523809523, 0.42857142857142855, 0.14285714285714285, 0.2857142857142857, 0.23809523809523808, 0.19047619047619047, 0.0]",21,33,2020-08-13,329,225,0.00040601367053651736,0.1850000023841858,F
89,0097.HK,2020-06-08,2020-05-29,"[23, 28, 36]",[48],"['2020-07-13', '2020-07-20', '2020-07-30']",['2020-08-07'],"[1.5999999999999999, 1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]","[2.7, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]",7,8,2020-08-13,46,52,0.0003010804654504513,0.4050000011920929,F
94,0102.HK,2020-04-29,2020-01-31,"[12, 28]","[7, 15, 20, 30, 57, 91, 110]","['2020-05-19', '2020-06-10']","['2020-02-11', '2020-02-21', '2020-02-28', '2020-03-13', '2020-04-23', '2020-06-12', '2020-07-13']","[2.3, 1.0, 0.5, 0.0, 0.5, 0.0, 0.5, 0.0]","[1.657142857142857, 0.8571428571428571, 0.42857142857142855, 0.5714285714285714, 0.2857142857142857, 0.0, 0.0, 0.0]",24,25,2020-08-13,72,133,0.0010580815763421116,0.5600000023841858,F
95,0103.HK,2020-03-11,2020-06-18,"[12, 31, 66, 81, 98]","[7, 15, 28, 34]","['2020-03-27', '2020-04-27', '2020-06-17', '2020-07-10', '2020-08-04']","['2020-06-30', '2020-07-13', '2020-07-30', '2020-08-07']","[1.44, 0.6, 0.6, 0.0, 0.2, 0.0, 0.2, 0.0]","[1.8, 1.0, 0.25, 0.25, 0.5, 0.0, 0.0, 0.25]",30,36,2020-08-13,105,38,0.0002909190950287031,0.20600000023841852,F
96,0104.HK,2020-01-20,2020-07-02,"[42, 81, 92, 112]",[14],"['2020-03-20', '2020-05-20', '2020-06-04', '2020-07-06']",['2020-07-22'],"[1.775, 0.5, 0.5, 0.0, 0.5, 0.25, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",16,29,2020-08-13,140,30,0.0008892830432166135,0.2700000107288361,F
98,0106.HK,2019-09-23,2020-01-09,"[35, 101, 130, 135, 153, 176, 192]","[24, 34, 48, 72, 78, 84, 105, 127, 134, 143]","['2019-11-13', '2020-02-20', '2020-04-01', '2020-04-08', '2020-05-08', '2020-06-10', '2020-07-06']","['2020-02-14', '2020-02-28', '2020-03-19', '2020-04-24', '2020-05-06', '2020-05-14', '2020-06-12', '2020-07-16', '2020-07-27', '2020-08-07']","[1.4714285714285713, 0.7142857142857143, 0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.0]","[1.7300000000000002, 0.0, 0.6, 0.1, 0.2, 0.3, 0.4, 0.1]",12,22,2020-08-13,220,147,0.0005721961076227941,0.6499999761581421,F
101,0109.HK,2020-04-29,2020-06-04,"[5, 17, 21, 26, 42, 48, 58]","[14, 24, 28, 44]","['2020-05-08', '2020-05-26', '2020-06-01', '2020-06-08', '2020-07-02', '2020-07-10', '2020-07-24']","['2020-06-24', '2020-07-10', '2020-07-16', '2020-08-07']","[1.6428571428571428, 1.0, 0.42857142857142855, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[1.775, 0.75, 0.25, 0.0, 0.5, 0.25, 0.25, 0.0]",38,34,2020-08-13,72,48,0.0003520546529978053,0.08799999952316284,F
102,0110.HK,2020-03-03,2020-06-17,"[8, 20, 49, 63, 82, 90, 96]","[7, 14, 30]","['2020-03-13', '2020-03-31', '2020-05-15', '2020-06-04', '2020-07-03', '2020-07-15', '2020-07-23']","['2020-06-29', '2020-07-09', '2020-07-31']","[1.6285714285714283, 0.5714285714285714, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.0]","[2.1666666666666665, 1.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]",28,45,2020-08-13,111,39,0.000264520790256534,0.05799999833106995,F
103,0111.HK,2020-03-16,2020-06-09,"[12, 53, 59, 77, 91, 96]","[4, 15, 35]","['2020-04-01', '2020-06-03', '2020-06-11', '2020-07-09', '2020-07-29', '2020-08-05']","['2020-06-15', '2020-07-02', '2020-07-30']","[1.6166666666666667, 0.8333333333333334, 0.3333333333333333, 0.0, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.0]","[1.7333333333333334, 1.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0]",28,28,2020-08-13,102,45,0.0009655213120303976,0.3950000107288361,F
106,0114.HK,2019-12-06,2020-06-19,"[55, 72, 110, 161]","[5, 21, 32]","['2020-02-28', '2020-03-24', '2020-05-21', '2020-08-04']","['2020-06-29', '2020-07-22', '2020-08-06']","[1.7, 0.5, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25]","[1.7666666666666668, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333]",17,21,2020-08-13,168,37,0.0010443688917605566,0.6499999761581421,F
107,0115.HK,2020-04-06,2020-07-23,"[18, 24, 49]",[7],"['2020-05-06', '2020-05-14', '2020-06-18']",['2020-08-03'],"[2.033333333333333, 0.6666666666666666, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",26,33,2020-08-13,87,15,0.0002125621410585731,0.0820000022649765,F
109,0117.HK,2020-02-25,2020-07-24,"[24, 30, 65, 84, 101]",[7],"['2020-03-30', '2020-04-07', '2020-06-01', '2020-06-29', '2020-07-23']",['2020-08-04'],"[2.02, 0.8, 0.6, 0.4, 0.2, 0.2, 0.4, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",27,41,2020-08-13,116,14,0.002231455286724942,0.6600000262260437,F
