Date,Open,High,Low,Close,Volume,Low-Open,Low-Open_percent
2020-02-24,297.260009765625,304.17999267578125,256.3699951171875,273.3599853515625,349286600.0,-40.8900146484375,-0.13755639273737924
2016-04-25,105.0,105.6500015258789,92.51000213623047,93.73999786376953,349424100.0,-12.489997863769531,-0.11895236060732887
2018-12-31,158.52999877929688,159.36000061035156,142.0,148.25999450683594,221962500.0,-16.529998779296875,-0.10427047818444568
2018-12-17,165.4499969482422,168.35000610351562,149.6300048828125,150.72999572753906,287694300.0,-15.819992065429688,-0.09561796529001246
2018-11-19,190.0,190.6999969482422,172.10000610351562,172.2899932861328,164498700.0,-17.899993896484375,-0.09421049419202303
2016-01-25,101.5199966430664,101.52999877929688,92.38999938964844,97.33999633789062,380336500.0,-9.129997253417969,-0.08993299404370624
2015-08-17,116.04000091552734,117.6500015258789,105.6500015258789,105.76000213623047,320509000.0,-10.389999389648438,-0.08953808434741359
2018-12-03,184.4600067138672,184.94000244140625,168.3000030517578,168.49000549316406,167526800.0,-16.160003662109375,-0.08760708594777748
2020-07-20,385.6700134277344,397.0,356.5799865722656,370.4599914550781,166352200.0,-29.09002685546875,-0.07542724568323107
2015-11-09,120.95999908447266,121.80999755859375,112.2699966430664,112.33999633789062,216555300.0,-8.69000244140625,-0.07184195194427515
2018-03-19,177.32000732421875,177.47000122070312,164.94000244140625,164.94000244140625,172670700.0,-12.3800048828125,-0.06981730414761612
2020-03-23,228.0800018310547,258.67999267578125,212.61000061035156,247.74000549316406,346047500.0,-15.470001220703125,-0.06782708302572793
2018-11-12,199.0,199.85000610351562,185.92999267578125,193.52999877929688,242226500.0,-13.07000732421875,-0.06567842876491835
2018-10-29,219.19000244140625,222.36000061035156,205.42999267578125,207.47999572753906,270606300.0,-13.760009765625,-0.0627766303771237
2016-01-04,102.61000061035156,105.8499984741211,96.43000030517578,96.95999908447266,343790200.0,-6.180000305175781,-0.06022805056442351
2020-03-09,263.75,286.44000244140625,248.0,277.9700012207031,404209900.0,-15.75,-0.05971563981042654
2017-09-18,160.11000061035156,160.5,150.55999755859375,151.88999938964844,186188500.0,-9.550003051757812,-0.059646511869042976
2018-01-29,170.16000366210938,170.16000366210938,160.10000610351562,160.5,262992100.0,-10.05999755859375,-0.05912081183642966
2020-03-16,241.9499969482422,259.0799865722656,228.0,229.24000549316406,405065900.0,-13.949996948242188,-0.057656528721619964
2015-09-28,113.8499984741211,114.56999969482422,107.30999755859375,110.37999725341797,313896300.0,-6.540000915527344,-0.05744401408151035
2015-12-14,112.18000030517578,112.80000305175781,105.80999755859375,106.02999877929688,315106400.0,-6.370002746582031,-0.056783764746416485
