ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,current_price,signal
0343.HK,2020-06-22,2020-04-09,"[7, 12, 21]","[15, 24, 28, 75]","['2020-07-03', '2020-07-10', '2020-07-23']","['2020-05-06', '2020-05-19', '2020-05-25', '2020-07-31']","[2.6666666666666665, 1.0, 0.6666666666666666, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0]","[2.2249999999999996, 0.75, 0.75, 0.5, 0.25, 0.25, 0.25, 0.0]",30,30,2020-08-13,36,84,0.0005005743004920941,0.0949999988079071,F
0345.HK,2019-12-13,2020-03-30,"[23, 30, 34, 42, 54, 58, 63, 70, 81, 107, 115, 120, 128, 139, 147, 153]","[12, 28, 40, 45, 51, 62, 70, 78]","['2020-01-20', '2020-01-31', '2020-02-06', '2020-02-18', '2020-03-05', '2020-03-11', '2020-03-18', '2020-03-27', '2020-04-15', '2020-05-25', '2020-06-04', '2020-06-11', '2020-06-23', '2020-07-10', '2020-07-22', '2020-07-30']","['2020-04-17', '2020-05-13', '2020-05-29', '2020-06-05', '2020-06-15', '2020-07-02', '2020-07-14', '2020-07-24']","[1.44375, 0.1875, 0.5, 0.25, 0.25, 0.125, 0.0625, 0.0625]","[1.65, 0.625, 0.5, 0.375, 0.25, 0.125, 0.125, 0.0]",40,38,2020-08-13,163,92,0.02186818043087102,28.25,F
0346.HK,2020-04-16,2020-04-27,"[35, 48, 56]","[24, 33]","['2020-06-08', '2020-06-26', '2020-07-09']","['2020-06-02', '2020-06-15']","[2.6333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.0]","[2.05, 1.0, 1.0, 0.0, 0.0, 0.5, 0.5, 0.0]",24,26,2020-08-13,81,74,8.502200770101779e-05,0.05000000074505806,F
0347.HK,2020-07-21,2020-05-25,[12],"[5, 14, 24, 36, 43, 53]",['2020-08-06'],"['2020-06-01', '2020-06-12', '2020-06-29', '2020-07-16', '2020-07-27', '2020-08-10']","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1.5166666666666666, 1.0, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]",33,31,2020-08-13,17,56,0.0021744407840027253,2.25,F
0348.HK,2020-05-08,2019-12-30,"[24, 48]","[55, 62, 91, 98, 108, 133, 144]","['2020-06-11', '2020-07-17']","['2020-03-19', '2020-03-30', '2020-05-14', '2020-05-25', '2020-06-08', '2020-07-15', '2020-07-30']","[2.7, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[1.7857142857142858, 0.42857142857142855, 0.2857142857142857, 0.14285714285714285, 0.42857142857142855, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285]",24,21,2020-08-13,67,154,8.193103276563272e-05,0.026000000536441803,F
0351.HK,2020-07-06,2020-06-10,[7],"[21, 30, 40]",['2020-07-15'],"['2020-07-13', '2020-07-24', '2020-08-07']","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.2333333333333334, 1.0, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0]",32,34,2020-08-13,28,44,0.0007601680196267096,0.3050000071525574,F
0352.HK,2019-09-20,2020-07-17,"[35, 50, 63, 96, 112, 132, 198, 204, 214]","[6, 15]","['2019-11-12', '2019-12-03', '2019-12-20', '2020-02-12', '2020-03-05', '2020-04-02', '2020-07-13', '2020-07-21', '2020-08-04']","['2020-07-27', '2020-08-07']","[1.8888888888888888, 0.0, 0.5555555555555556, 0.2222222222222222, 0.3333333333333333, 0.2222222222222222, 0.3333333333333333, 0.0]","[1.75, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0]",15,43,2020-08-13,221,19,0.003014608792394368,0.699999988079071,F
0353.HK,2020-05-05,2020-05-29,"[5, 9, 36, 42]","[7, 11, 16, 21, 25, 39, 48]","['2020-05-12', '2020-05-18', '2020-06-24', '2020-07-06']","['2020-06-09', '2020-06-15', '2020-06-22', '2020-06-30', '2020-07-07', '2020-07-27', '2020-08-07']","[2.15, 1.0, 0.75, 0.25, 0.25, 0.0, 0.25, 0.25]","[1.614285714285714, 1.0, 0.42857142857142855, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.0]",33,42,2020-08-13,70,52,0.00018926010003470484,0.06499999761581421,F
0354.HK,2020-05-11,2020-04-22,"[29, 42, 60]","[6, 16, 24, 35, 47, 57, 63]","['2020-06-19', '2020-07-10', '2020-08-05']","['2020-05-04', '2020-05-18', '2020-05-28', '2020-06-12', '2020-07-02', '2020-07-16', '2020-07-24']","[2.2333333333333334, 1.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]","[1.757142857142857, 0.8571428571428571, 0.5714285714285714, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.0]",32,34,2020-08-13,66,77,0.0077379442509575656,5.519999980926514,F
0355.HK,2020-03-05,2020-06-30,"[7, 26, 30, 42, 48, 56, 60, 64, 72, 98]","[12, 16]","['2020-03-16', '2020-04-14', '2020-04-20', '2020-05-08', '2020-05-18', '2020-05-28', '2020-06-03', '2020-06-09', '2020-06-19', '2020-07-29']","['2020-07-17', '2020-07-23']","[1.9600000000000002, 0.0, 0.5, 0.2, 0.4, 0.4, 0.3, 0.0]","[1.4500000000000002, 1.0, 0.5, 0.0, 0.0, 0.5, 0.5, 0.0]",25,18,2020-08-13,109,31,0.0006129024131091008,0.4149999916553497,F
