Date,Open,High,Low,Close,Adj Close,Volume,ATR,ATR_2
2018-12-31,18.790000915527344,20.440000534057617,18.790000915527344,20.1200008392334,20.1200008392334,20300,0.0,0.0
2019-01-02,19.920000076293945,21.950000762939453,19.899999618530273,21.450000762939453,21.450000762939453,47700,0.0,0.0
2019-01-03,21.239999771118164,21.239999771118164,19.690000534057617,20.399999618530273,20.399999618530273,35100,0.0,0.0
2019-01-04,20.5,21.600000381469727,20.399999618530273,21.5,21.5,19600,0.0,0.0
2019-01-07,21.649999618530273,23.25,21.0,23.09000015258789,23.09000015258789,39200,0.0,0.0
2019-01-08,23.5,24.950000762939453,22.739999771118164,23.5,23.5,38800,0.0,0.0
2019-01-09,23.56999969482422,23.979999542236328,23.100000381469727,23.600000381469727,23.600000381469727,34800,0.0,0.0
2019-01-10,23.270000457763672,25.149999618530273,22.43000030517578,25.149999618530273,25.149999618530273,62400,0.0,0.0
2019-01-11,25.25,25.389999389648438,23.530000686645508,25.0,25.0,23900,0.0,0.0
2019-01-14,24.75,25.0,22.540000915527344,23.90999984741211,23.90999984741211,34400,0.0,0.0
2019-01-15,23.959999084472656,24.469999313354492,23.670000076293945,23.809999465942383,23.809999465942383,11100,0.0,0.0
2019-01-16,24.059999465942383,24.15999984741211,23.670000076293945,23.81999969482422,23.81999969482422,11200,0.0,0.0
2019-01-17,23.899999618530273,24.40999984741211,23.5,24.020000457763672,24.020000457763672,25500,0.0,0.0
2019-01-18,24.239999771118164,25.0,23.420000076293945,24.989999771118164,24.989999771118164,20700,1.6299998419625419,0.11642856014018156
2019-01-22,25.200000762939453,25.200000762939453,23.90999984741211,24.799999237060547,24.799999237060547,10500,1.6057142043600279,0.10984692281606245
2019-01-23,25.049999237060547,25.049999237060547,24.600000381469727,25.0,25.0,12400,1.5231631080193702,0.10789722092496211
2019-01-24,25.030000686645508,25.030000686645508,23.549999237060547,23.899999618530273,23.899999618530273,25100,1.5200801324169124,0.1004104891162118
2019-01-25,24.110000610351562,24.399999618530273,23.799999237060547,24.260000228881836,24.260000228881836,13800,1.4543601502063992,0.09793259576580475
2019-01-28,24.25,24.260000228881836,23.389999389648438,23.899999618530273,23.899999618530273,16100,1.4126201994226135,0.09391883540994625
2019-01-29,24.0,24.0,22.940000534057617,23.040000915527344,23.040000915527344,30100,1.3874330041740257,0.08900943254127779
2019-01-30,23.270000457763672,24.290000915527344,22.610000610351562,24.239999771118164,24.239999771118164,20000,1.408330668531294,0.08414430624241996
2019-01-31,24.040000915527344,24.5,23.989999771118164,24.489999771118164,24.489999771118164,14200,1.3441642085563326,0.08271731722331578
2019-02-01,24.540000915527344,24.600000381469727,24.1200008392334,24.469999313354492,24.469999313354492,22000,1.2824381609620465,0.08121794082124223
2019-02-04,24.59000015258789,24.59000015258789,23.739999771118164,23.75,23.75,21000,1.2515497481411664,0.07762297453550208
2019-02-05,24.0,24.100000381469727,23.6299991607666,23.760000228881836,23.760000228881836,10000,1.1957248533241633,0.07606596884132358
2019-02-06,23.6200008392334,23.989999771118164,23.34000015258789,23.700000762939453,23.700000762939453,24300,1.1567444794103139,0.07341699777507542
2019-02-07,23.5,23.5,22.969999313354492,23.200000762939453,23.200000762939453,10600,1.1262628344227887,0.07035018686167897
2019-02-08,22.969999313354492,23.450000762939453,22.969999313354492,23.280000686645508,23.280000686645508,17500,1.0801013069343726,0.06862242547787449
2019-02-11,23.399999618530273,23.600000381469727,23.200000762939453,23.309999465942383,23.309999465942383,12800,1.0315226149055083,0.06719073023151662
2019-02-12,23.559999465942383,24.270000457763672,23.209999084472656,23.989999771118164,23.989999771118164,39800,1.0335568119330445,0.06253669214551802
